date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:38:04	76516/76516	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:38:02%20GMT	https://www.roboticssummit.com/exhibitors/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/exhibitors/index.html	(from https://www.roboticssummit.com/)
00:38:05	39111/39111	---M--	200	added ('OK')	image/jpeg	etag:%2261f2dcd3-d791%22	https://www.roboticssummit.com/wp-content/uploads/2022/01/jon-barad-500x500.jpg	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2022/01/jon-barad-500x500.jpg	(from https://www.roboticssummit.com/)
00:38:07	79533/79533	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:38:05%20GMT	https://www.roboticssummit.com/academic-outreach-program/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/academic-outreach-program/index.html	(from https://www.roboticssummit.com/)
00:38:11	29672/29672	---M--	200	added ('OK')	image/jpeg	etag:%2261f18d8f-98a7%22	https://www.roboticssummit.com/wp-content/uploads/2022/01/brad-bogolea-500x500.jpg	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2022/01/brad-bogolea-500x500.jpg	(from https://www.roboticssummit.com/)
00:38:13	79517/79517	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:38:11%20GMT	https://www.roboticssummit.com/association-outreach-program/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/association-outreach-program/index.html	(from https://www.roboticssummit.com/)
00:38:15	351668/351668	---M--	200	added ('OK')	image/png	etag:%22624c72d2-55e2c%22	https://www.roboticssummit.com/wp-content/uploads/2021/10/rick-faulk-500x500.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2021/10/rick-faulk-500x500.png	(from https://www.roboticssummit.com/)
00:38:16	27022/27022	---M--	200	added ('OK')	image/jpeg	etag:%2262168f78-8d32%22	https://www.roboticssummit.com/wp-content/uploads/2022/02/amir-bousani-500x500.jpg	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2022/02/amir-bousani-500x500.jpg	(from https://www.roboticssummit.com/)
00:38:20	82391/82391	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:38:15%20GMT	https://www.roboticssummit.com/massrobotics-career-fair/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/massrobotics-career-fair/index.html	(from https://www.roboticssummit.com/)
00:38:21	82502/82502	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:38:19%20GMT	https://www.roboticssummit.com/design-for-additive-manufacturing-workshop/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/design-for-additive-manufacturing-workshop/index.html	(from https://www.roboticssummit.com/)
00:38:30	41184/41184	---M--	200	added ('OK')	image/jpeg	etag:%22626707d1-ca60%22	https://www.roboticssummit.com/wp-content/uploads/2022/04/chris-cacioppo-500x500.jpg	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2022/04/chris-cacioppo-500x500.jpg	(from https://www.roboticssummit.com/)
00:38:31	78878/78878	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:38:30%20GMT	https://www.roboticssummit.com/test-drive-spot/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/test-drive-spot/index.html	(from https://www.roboticssummit.com/)
00:38:38	39087/39087	---M--	200	added ('OK')	image/jpeg	etag:%2262573672-c416%22	https://www.roboticssummit.com/wp-content/uploads/2022/04/doug-carlson-500x500.jpg	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2022/04/doug-carlson-500x500.jpg	(from https://www.roboticssummit.com/)
00:38:39	78588/78588	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:38:37%20GMT	https://www.roboticssummit.com/why-sponsor/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/why-sponsor/index.html	(from https://www.roboticssummit.com/)
00:38:52	266914/266914	---M--	200	added ('OK')	image/png	etag:%226266fcad-41800%22	https://www.roboticssummit.com/wp-content/uploads/2022/04/cory-bell-500x500.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2022/04/cory-bell-500x500.png	(from https://www.roboticssummit.com/)
00:38:54	78156/78156	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:38:52%20GMT	https://www.roboticssummit.com/who-attends/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/who-attends/index.html	(from https://www.roboticssummit.com/)
00:39:01	306172/306172	---M--	200	added ('OK')	image/png	etag:%22624c74ff-4aeca%22	https://www.roboticssummit.com/wp-content/uploads/2022/01/nathan-brooks-500x500.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2022/01/nathan-brooks-500x500.png	(from https://www.roboticssummit.com/)
00:39:03	105982/105982	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:39:00%20GMT	https://www.roboticssummit.com/prospectus/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/prospectus/index.html	(from https://www.roboticssummit.com/)
00:39:05	49186/49186	---M--	200	added ('OK')	image/jpeg	etag:%22620e4ec8-ef31%22	https://www.roboticssummit.com/wp-content/uploads/2022/02/jes-chosid-500x500.jpg	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2022/02/jes-chosid-500x500.jpg	(from https://www.roboticssummit.com/)
00:39:08	83667/83667	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:39:06%20GMT	https://www.roboticssummit.com/speaker/kevin-blankespoor/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/speaker/kevin-blankespoor/index.html	(from https://www.roboticssummit.com/)
